L (um),FW (um),V (V),PULL-IN,PULL-OUT
10,2,10,,
10,2,10,,
10,2,10,,
10,3,10,NP,NP
10,3,10,,
10,3,10,,
10,4,10,NP,NP
10,4,10,,
10,4,10,,
10,5,10,,
10,5,10,,
10,5,10,,
10,6,10,,
10,6,10,,
10,6,10,,
10,7,10,,
10,7,10,,
10,7,10,,
10,8,10,,
10,8,10,,
10,8,10,,
10,2,20,,
10,2,20,,
10,2,20,,
10,3,20,NP,NP
10,3,20,,
10,3,20,,
10,4,20,NP,NP
10,4,20,,
10,4,20,,
10,5,20,,
10,5,20,,
10,5,20,,
10,6,20,,
10,6,20,,
10,6,20,,
10,7,20,,
10,7,20,,
10,7,20,,
10,8,20,,
10,8,20,,
10,8,20,,
10,2,30,,
10,2,30,,
10,2,30,,
10,3,30,NP,NP
10,3,30,,
10,3,30,,
10,4,30,NP,NP
10,4,30,,
10,4,30,,
10,5,30,,
10,5,30,,
10,5,30,,
10,6,30,,
10,6,30,,
10,6,30,,
10,7,30,,
10,7,30,,
10,7,30,,
10,8,30,,
10,8,30,,
10,8,30,,
10,2,40,,
10,2,40,,
10,2,40,,
10,3,40,NP,NP
10,3,40,,
10,3,40,,
10,4,40,NP,NP
10,4,40,,
10,4,40,,
10,5,40,,
10,5,40,,
10,5,40,,
10,6,40,,
10,6,40,,
10,6,40,,
10,7,40,,
10,7,40,,
10,7,40,,
10,8,40,,
10,8,40,,
10,8,40,,
10,2,50,,
10,2,50,,
10,2,50,,
10,3,50,74.4,24.8
10,3,50,,
10,3,50,,
10,4,50,75.6,25.6
10,4,50,,
10,4,50,,
10,5,50,,
10,5,50,,
10,5,50,,
10,6,50,,
10,6,50,,
10,6,50,,
10,7,50,,
10,7,50,,
10,7,50,,
10,8,50,,
10,8,50,,
10,8,50,,
10,2,60,,
10,2,60,,
10,2,60,,
10,3,60,50.4,24.2
10,3,60,,
10,3,60,,
10,4,60,50.6,24.6
10,4,60,,
10,4,60,,
10,5,60,,
10,5,60,,
10,5,60,,
10,6,60,,
